ID;HTS;NRES;IFM;ILM;ICH;SEXO;AUTLIC;NSET;TVIA1;TVIA2;TVIA3;TVIA4;TVIA5;TVIA6;TVIA7;TVIA8;TVIA9;TCAM1;TCAM2;TCAM3;TCAM4;TCAM5;TCAM6;TCAM7;TCAM8;   ;TVIB1;TVIB2;TVIB3;TVIB4;TVIB5;TVIB6;TVIB7;TVIB8;TVIB9;D1;D2;TESP3;TESP4;TESP5;TESP6;TESP7;TESP8;TESP9;CTOT1;CTOT2;CTOT3;CTOT4;CTOT5;CTOT6;CTOT7;CTOT8;CTOT9;HORA;NOD1;NOD2;JEFH;NAUT;NEST;NTRAB;LTOT;TVIA6A;TVIA6M;TVIA7A;TVIA7M;TVIA8T;TVIA8M;TVIA9B;TVIA9M;DISP1;DISP2;DISP3;DISP4;DISP5;DISP6;DISP7;DISP8;DISP9;LasCondes
152;50;4;200000;60000;4;1;0,75;5;517;517;441;468;1002;0;0;0;0;288;288;238;288;238;0;0;0;0;449;449;474;468;1002;0;0;0;0;0;1;18;78;12;0;0;0;0;118;9;60;14;20;0;0;0;0;840;707;701;0;3;0;2;4;0;0;0;0;0;0;0;0;1;1;1;1;1;0;0;0;0;1
153;40;10;70000;50000;9;1;1;4;0;0;911;0;1046;0;0;780;786;0;0;137;0;626;0;0;713;713;0;0;884;0;1026;0;0;780;786;1;0;36;0;30;0;0;156;132;0;0;80;0;40;0;0;43;43;800;411;510;1;1;4;3;1;0;0;0;0;114;666;120;666;0;0;1;0;1;0;0;1;1;0
153;40;4;150000;150000;1;1;1;8;1027;1027;1095;0;1997;1242;1424;1194;1536;194;194;792;0;612;540;540;806;1022;988;988;1014;0;1884;1242;1424;1194;1536;0;1;30;0;258;78;78;108;156;116;18;50;0;20;39;14;43;33;840;517;701;1;2;1;1;2;402;840;584;840;354;840;696;840;1;1;1;0;1;1;1;1;1;1
154;40;5;60000;45000;5;0;1;6;0;797;871;0;1240;0;2150;851;889;0;0;778;0;590;0;590;1051;1051;0;907;1001;0;1363;0;2150;851;889;1;0;78;0;78;0;120;198;132;0;56;90;0;40;0;14;53;53;640;411;510;1;1;2;2;1;0;0;1484;666;185;666;223;666;0;1;1;0;1;0;1;1;1;0
154;40;2;100000;50000;9;1;0,5;8;1061;1061;1348;0;1736;1151;1105;1152;1332;108;108;490;0;490;130;130;720;720;1001;1001;1248;0;1638;1151;1105;1152;1332;1;0;48;0;108;78;78;125;120;143;22;60;0;20;38;14;43;33;830;323;701;1;1;0;2;2;311;840;265;840;312;840;492;840;1;1;1;0;1;1;1;1;1;1
156;40;5;70000;45000;4;0;0;2;0;0;0;588;950;0;0;0;0;0;0;0;641;194;0;0;0;0;0;0;0;588;1044;0;0;0;0;0;0;0;120;78;0;0;0;0;0;0;0;13;40;0;0;0;0;645;501;109;1;0;3;2;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0
157;60;3;80000;80000;4;1;0;4;0;644;732;522;1108;0;0;0;0;0;0;356;1058;612;0;0;0;0;0;608;648;522;972;0;0;0;0;0;0;36;120;78;0;0;0;0;0;39;80;11;40;0;0;0;0;825;502;109;1;0;1;1;1;0;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0
158;40;5;65000;50000;8;1;0,5;8;799;877;944;0;1450;934;1740;946;994;108;0;562;0;382;648;576;598;598;761;835;859;0;1330;934;1740;946;994;1;0;36;0;42;120;120;156;156;120;44;80;0;40;54;14;48;53;820;419;510;1;1;2;2;2;268;666;1074;666;280;666;328;666;1;1;1;0;1;1;1;1;1;0
158;40;4;105000;70000;6;1;1;9;932;932;765;774;1573;802;1711;898;927;324;324;684;864;684;396;396;734;734;872;872;702;774;1356;802;1711;898;927;0;1;24;78;42;78;78;102;120;129;15;60;13;20;36;14;64;34;815;417;701;1;2;2;2;2;100;702;1009;702;592;306;621;306;1;1;1;1;1;1;1;1;1;1
159;40;4;60000;40000;5;0;0;4;0;358;608;0;539;0;1361;0;0;0;0;166;0;403;0;576;0;0;0;338;539;0;513;0;1361;0;0;0;0;24;0;42;0;120;0;0;0;25;100;0;40;0;14;0;0;830;306;510;1;0;2;1;0;0;0;1025;336;0;0;0;0;0;1;1;0;1;0;1;0;0;0
159;40;6;200000;60000;6;1;0,66;8;992;992;795;0;2034;1078;2319;1110;1362;324;324;720;0;691;418;418;734;734;973;973;864;0;1866;1078;2319;1110;1362;0;1;36;0;198;78;78;114;276;135;17;60;0;20;57;14;73;33;845;116;701;0;4;2;5;6;772;306;2013;306;270;840;816;546;1;1;1;0;1;1;1;1;1;1
160;50;5;50000;50000;8;1;0,33;7;892;892;0;0;1403;893;2376;896;1071;108;0;0;0;360;648;576;1008;792;850;850;0;0;1311;893;2376;896;1071;1;0;0;0;120;120;120;144;168;135;52;0;0;40;64;14;48;53;800;402;510;1;1;3;2;3;371;522;1854;522;374;522;549;522;1;1;0;0;1;1;1;1;1;0
160;40;3;200000;30000;4;1;0,66;5;782;782;637;774;1399;0;0;0;0;346;346;360;360;360;0;0;0;0;698;698;678;774;1320;0;0;0;0;0;1;24;78;42;0;0;0;0;135;17;60;13;20;0;0;0;0;900;711;701;0;2;0;2;3;0;0;0;0;0;0;0;0;1;1;1;1;1;0;0;0;0;1
161;40;5;110000;110000;5;1;1;8;610;686;745;0;847;661;1089;673;672;108;0;533;0;367;648;576;720;720;581;653;677;0;823;661;1089;673;672;1;0;36;0;42;120;120;156;132;167;48;80;0;40;41;13;53;53;830;404;510;1;1;3;1;1;73;588;501;588;85;588;84;588;1;1;1;0;1;1;1;1;1;0
161;25;7;200000;10000;7;0;0,75;8;750;750;662;0;1549;876;1097;804;930;346;346;382;0;382;274;274;396;396;721;721;720;0;1434;876;1097;804;930;0;1;36;0;96;78;78;114;108;125;12;60;0;20;42;14;74;34;830;110;701;0;3;2;3;4;330;546;551;546;258;546;384;546;1;1;1;0;1;1;1;1;1;1
162;45;3;96000;96000;1;1;1;4;669;669;0;588;1165;0;0;0;0;108;0;0;893;317;0;0;0;0;637;637;0;588;1069;0;0;0;0;1;0;0;120;78;0;0;0;0;207;53;0;13;40;0;0;0;0;840;501;109;1;1;0;1;1;0;0;0;0;0;0;0;0;1;1;0;1;1;0;0;0;0;0
162;45;4;120000;50000;1;0;1;6;835;0;1180;0;1778;993;0;942;1044;468;0;389;0;389;346;0;338;338;773;0;1044;0;1434;993;0;942;1044;0;1;48;0;54;78;0;125;102;167;0;60;0;20;37;0;73;33;755;409;701;0;3;1;2;3;153;840;0;0;102;840;204;840;1;0;1;0;1;1;0;1;1;1
163;60;5;120000;120000;5;1;1;8;647;712;591;0;1088;762;1265;776;779;288;0;482;0;317;202;130;274;274;616;678;538;0;998;762;1265;776;779;1;0;36;0;42;192;192;228;204;200;56;80;0;40;54;25;65;65;830;404;512;1;1;3;1;1;78;684;581;684;92;684;95;684;1;1;1;0;1;1;1;1;1;0
163;45;6;200000;65000;4;1;0,33;5;708;708;815;840;1645;0;0;0;0;468;468;554;619;554;0;0;0;0;656;656;748;840;1418;0;0;0;0;0;1;24;78;42;0;0;0;0;168;14;60;13;20;0;0;0;0;800;711;31;0;2;3;2;6;0;0;0;0;0;0;0;0;1;1;1;1;1;0;0;0;0;1
164;50;2;46000;35000;5;1;0;4;0;0;853;0;1178;0;0;1014;1060;0;0;734;0;374;0;0;763;130;0;0;828;0;1156;0;0;1014;1060;0;0;36;0;78;0;0;228;252;0;0;100;0;40;0;0;65;65;715;403;513;1;0;0;2;1;0;0;0;0;198;816;322;738;0;0;1;0;1;0;0;1;1;0
164;44;5;110000;110000;9;1;0,5;8;966;966;968;0;1794;1172;1426;1098;1302;446;446;562;0;562;324;324;468;468;911;911;1008;0;1794;1172;1426;1098;1302;1;0;60;0;30;78;78;138;96;178;19;60;0;20;46;15;39;32;830;322;701;1;1;3;1;2;332;840;586;840;258;840;462;840;1;1;1;0;1;1;1;1;1;1
165;45;8;500000;85000;1;1;0,37;8;682;682;662;0;1549;1133;1608;1089;1222;684;684;684;0;684;108;108;230;432;656;656;720;0;1434;1133;1608;1089;1222;0;1;36;0;96;78;78;114;180;76;13;60;0;20;42;13;43;33;900;111;701;0;3;4;3;8;293;840;768;840;249;840;382;840;1;1;1;0;1;1;1;1;1;1
166;62;4;38000;30000;5;1;1;3;424;0;0;0;778;683;0;0;0;324;0;0;0;475;533;0;0;0;466;0;0;0;893;683;0;0;0;1;0;0;0;66;192;0;0;0;100;0;0;0;40;60;0;0;0;630;313;511;1;1;2;1;1;245;438;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0
166;40;6;200000;30000;6;1;0,8;8;865;865;795;0;1923;1079;2329;1110;1362;684;684;814;0;814;108;108;432;432;848;848;864;0;1764;1079;2329;1110;1362;0;1;36;0;96;78;78;114;276;82;16;60;0;20;58;15;74;34;830;116;701;0;4;2;4;5;773;306;2023;306;270;840;816;546;1;1;1;0;1;1;1;1;1;1
167;45;2;180000;89000;1;1;1;7;814;814;0;0;1175;854;1764;949;1019;14;0;0;0;425;317;245;281;497;782;782;0;0;1163;854;1764;949;1019;0;1;0;0;120;192;192;228;240;142;36;0;0;40;70;26;55;65;730;402;511;0;2;0;2;2;344;510;1254;510;439;510;449;570;1;1;0;0;1;1;1;1;1;0
168;48;2;34000;34000;5;1;0;4;0;0;1081;0;1231;0;0;1023;973;0;0;698;0;713;0;0;835;929;0;0;1049;0;1207;0;0;1023;973;0;0;78;0;30;0;0;270;204;0;0;80;0;40;0;0;60;65;740;411;511;1;0;1;1;1;0;0;0;0;309;714;259;714;0;0;1;0;1;0;0;1;1;0
168;36;2;100000;85000;6;1;0,5;8;988;988;1099;0;2026;1152;1947;1074;1236;360;360;756;0;1260;324;324;914;914;1007;1007;990;0;1674;1152;1947;1074;1236;1;0;36;0;60;78;78;114;108;120;20;60;0;20;47;14;39;34;800;318;701;1;1;0;2;2;312;840;1107;840;234;840;396;840;1;1;1;0;1;1;1;1;1;1
169;40;7;150000;40000;5;0;0,25;5;0;236;447;0;457;0;809;0;293;0;14;418;0;374;0;461;0;648;0;227;447;0;466;0;809;0;293;1;0;24;0;54;0;192;0;222;0;15;80;0;40;0;25;0;65;750;212;511;0;1;1;3;4;0;0;635;174;0;0;119;174;0;1;1;0;1;0;1;0;1;0
169;40;7;300000;100000;6;1;0,71;8;868;868;1022;0;1761;1106;1503;1002;1110;360;360;216;0;216;324;324;518;518;885;885;811;0;1601;1106;1503;1002;1110;0;1;36;0;96;78;78;114;126;119;20;60;0;20;42;14;54;34;800;113;701;0;5;2;4;7;266;840;663;840;162;840;270;840;1;1;1;0;1;1;1;1;1;1
170;48;4;90000;40000;8;0;0,5;8;985;989;1136;0;1296;925;1168;875;971;324;0;202;0;468;130;58;166;166;920;925;1103;0;1271;925;1168;875;971;1;0;78;0;42;120;120;198;138;161;65;90;0;40;58;14;58;53;730;414;510;0;1;1;3;2;259;666;502;666;209;666;305;666;1;1;1;0;1;1;1;1;1;0
170;42;4;75000;75000;5;1;0,5;7;1103;1103;0;0;2216;1213;1628;1104;1352;108;108;0;0;151;202;202;475;166;1022;1022;0;0;1832;1213;1628;1104;1352;1;0;0;0;78;78;78;114;126;154;27;0;0;20;54;15;39;34;745;324;702;1;1;2;1;2;445;768;860;768;336;768;584;768;1;1;0;0;1;1;1;1;1;1
